Nama Makanan,Harga,Deskripsi,Waktu Scraping
bawal goreng lenngkap,30.800,nasi bawal goreng sambel lalap tahu tempe ikan asin sayur asem,2025-05-24 16:42:01
bawal pedes manis lengkap,30.800,nasi bawal pedes manis sambel lalap tahu tempe ikan asin sayur asem,2025-05-24 16:42:01
lele goreng lengkap,30.800,lele goreng nasi sambel lalap tahu tempe ikan asin sayur asem,2025-05-24 16:42:01
ayam bakar lengkap,32.500,0,2025-05-24 16:42:01
lele bakar lengkap,30.800,nasi lele bakar sambel lalap tahu tempe ikan asin sayur asem,2025-05-24 16:42:01
nasi ayam goreng lengkap,32.500,nasi ayam goreng sambel lalap tahu tempe ikan asin sayur asem,2025-05-24 16:42:01
gurami pedes manis lengkap,43.120,nasi gurami pedes manis sambel lalap tahu tempe ikan asin sayur asem,2025-05-24 16:42:01
nasi ayam bakar,31.850,nasi ayam bakar sambel lalap tahu tempe,2025-05-24 16:42:01
gurami pedes manis lengkap,48.800,nasi gurami pedes manis sambel lalap tahu tempe ikan asin sayur asem,2025-05-24 16:42:01
bawal pedes asem manis,31.200,nasi bawal sambel lalap tahu tempe,2025-05-24 16:42:01
nasi ayam pedes manis,31.850,nasi ayam pedes manis sambel lalap tahu tempe,2025-05-24 16:42:01
gurami bakar lengkap,48.800,nasi gurami bakar sambel lalap tahu tempe ikan asin sayur asem,2025-05-24 16:42:01
ayam pedes asem manis,31.200,nasi ayam asem manis sambel lalap tahu tempe,2025-05-24 16:42:01
nasi gurami goreng,40.300,nasi gurami goreng sambel lalap tahu tempe,2025-05-24 16:42:01
paket lengkap bawal bakar,30.800,asi bawal bakar sambel lalap tahu tempe ikan asin sayur asem,2025-05-24 16:42:01
gurami asem manis lenkap,42.600,nasi gurami asem manis sambel lalap tahu tempe ikan asin sayur asem,2025-05-24 16:42:01
gurami goreng lengkap,42.900,nasi gurami goreng sambel lalap tahu tempe ikan asin sayur asem,2025-05-24 16:42:01
nasi gurami pedes manis,40.300,naai gurami pedes manis sambel lalap tahu tempe,2025-05-24 16:42:01
gurami bakar lengkap,42.600,nasi gurami bakar sambel lalap tahu tempe ikan asin sayur asem,2025-05-24 16:42:01
ayam goreng lengkap,32.500,nasi sambel lalap tahu tempe ikan asin sayur asem,2025-05-24 16:42:01
nasi gurami goreng,41.600,nasi gurami goreng sambel lalap tahu tempe,2025-05-24 16:42:01
nasi gurami bakar,40.300,nasi gurami bakar sambel lalap tahu tempe,2025-05-24 16:42:01
paket lengkap ayam goreng,30.800,nasi ayam goreng sambel lalap tahu tempe ikan asin sayur asem,2025-05-24 16:42:01
gurami goreng lengkap,42.600,nasi gurami goreng sambel lalap tahu tempe ikan asin sayur asem,2025-05-24 16:42:01
ayam bakar lengkap,32.500,nasi ayam bakar sambel lalap tahu tempe ikan asin sayur asem,2025-05-24 16:42:01
nasi gurami asem manis,41.600,nasi gurami asem manis sambel lalap tahu tempe,2025-05-24 16:42:01
paket lengkap ayam bakar,30.800,nasi ayam bakar sambel lalap tahu tempe ijan asin sayur asem,2025-05-24 16:42:01
ayam goreng lengkap,32.400,nasi ayam bakar sambel lalap tahu tempe ikan asin sayur asem,2025-05-24 16:42:01
gurami bakar lengkap,44.200,nasi gurami bakar sambel lalap tahu tempe ikan asin sayur asem,2025-05-24 16:42:01
gurami bakar lengkap,42.900,nasi gurami bakar sambel lalap tahu tempe ikan asin sayur asem,2025-05-24 16:42:01
nasi gurami goreng lengkap,43.120,nasi gurami goreng sambel lalap tahu tempe ikan asin sayur asem,2025-05-24 16:42:01
nasi gurami goreng es teh,48.800,nasi gurami goreng sambel lalap tahu tempe es teh,2025-05-24 16:42:01
ayam bakar lengkap,32.400,nasi ayam bakar sambel lalap tahu tempe ikan asin sayur asem,2025-05-24 16:42:01
gurami goreng lengkap,44.200,nasi sambel lalap tahu tempe ikan asin sayur asem,2025-05-24 16:42:01
nasi gurami bakar,41.600,nasi gurami bakar sambel lalap tahu tempe,2025-05-24 16:42:01
nasi gurami bakar lengkap,43.120,nasi gurami bakar sambel lalap tahu tempe ikan asin sayur asem,2025-05-24 16:42:01
nasi gurami bakar es teh,48.800,nasi sambel lalap tahu tempe gurami bakar es teh manis,2025-05-24 16:42:01
gurami goreng lengkap kumbo 2 porsi,86.000,nasi gurami goreng sambel lalap tahu tempe ikan asin sayur asem,2025-05-24 16:42:01
ayam goreng kumbo 2 porsi,58.000,nasi ayam bakar sambel lalap tahu tempe ikan asin buat 2 porsi,2025-05-24 16:42:01
ayam bakar kumbo 2porsi,58.000,nasi ayam bakar sambel lalap tahu tempe ikan asin sayur asem buat 2 porsi,2025-05-24 16:42:01
ayam bakar lengkap 5 porsi,145.000,5 nasi 5 ayam bakar 5 sambel 5 lalap 5 tahu 5 tempe 5 sayur asem 5 ikan asin.buat 5 porsi ayam campur paha dada,2025-05-24 16:42:01
nasi rames ayam,20.000,nasi rames ayam,2025-05-24 16:42:01
nasi rames telor,20.000,nasi rames telor,2025-05-24 16:42:01
nasi ayam goreng sambel lalap paha,24.000,nasi ayam goreng paha sambel lalap,2025-05-24 16:42:01
nasi ayam bakar sambel lalap paha,24.000,nasi ayam bakar paha sambel lalap,2025-05-24 16:42:01
kembung salem bakar sambel lalap,25.000,nasi kembung bakar sambel lalap,2025-05-24 16:42:01
kembung Salem asem manis sambel lalap,25.000,nasi kembung asem manis sambel lalap,2025-05-24 16:42:01
kembung salem goreng sambel lalap,25.000,nasi kembung goreng sambel lalap,2025-05-24 16:42:01
