Nama Makanan,Harga,Deskripsi,Waktu Scraping
Paket Gajian : Paket Ikan Gurame Goreng + Sayur Asem,57.500,ikan gurame + tahu tempe + nasi putih + sayur asem,2025-05-24 16:36:09
Paket Gajian : Paket Ikan Nila Goreng + Sayur Asem,52.500,ikan nila + tahu tempe + nasi putih + sayur asem,2025-05-24 16:36:09
Paket Gajian : Paket Ikan Bawal Goreng + Sayur Asem,49.000,ikan bawal + tahu tempe + nasi putih + sayur asem,2025-05-24 16:36:09
Paket Gajian : Paket Ayam Penyet + Sayur Asem,45.500,dada / paha + tahu tempe + nasi putih + sayur asem,2025-05-24 16:36:09
Paket Gajian : Paket Ayam Kalasan + Sayur Asem,45.500,dada / paha + tahu tempe + nasi putih + sayur asem,2025-05-24 16:36:09
Paket Gajian : Paket Ayam Bakar + Sayur Asem,45.500,dada / paha + tahu tempe + nasi putih + sayur asem,2025-05-24 16:36:09
Paket Ayam Geprek Fillet,32.200,ayam fillet + nasi putih,2025-05-24 16:36:09
Paket Ayam Geprek Fillet Cabe Ijo,32.200,ayam fillet + nasi putih,2025-05-24 16:36:09
Paket Ayam Geprek Sambal Matah,32.200,ayam fillet + nasi putih,2025-05-24 16:36:09
Indomie Ayam Geprek Fillet,33.600,ayam fillet + Indomie goreng,2025-05-24 16:36:09
Indomie Ayam Geprek Fillet Cabe Ijo,33.600,ayam fillet + Indomie goreng,2025-05-24 16:36:09
Indomie Ayam Geprek Fillet Sambal Matah,33.600,ayam fillet + Indomie goreng,2025-05-24 16:36:09
PH Paket Ayam Bakar + Tempe Geprek,42.255,1 paket ayam bakar + tempe geprek,2025-05-24 16:36:09
PH Paket Ayam Penyet Cabe Ijo + Tempe Geprek,42.255,1 paket ayam penyet + 1 paket tempe geprek,2025-05-24 16:36:09
PH Paket Ayam Kalasan + Tempe Geprek,42.255,1 paket ayam kalasan + 1 paket tempe geprek,2025-05-24 16:36:09
Paket Ayam Geprek Sambal Matah Large,32.000,dada montok / paha utuh + nasi putih,2025-05-24 16:36:09
Paket Ayam Geprek Cabe Ijo Large,32.000,dada montok / paha utuh + nasi putih,2025-05-24 16:36:09
Ayam Geprek Sambal Matah Large - Tanpa Nasi,26.000,dada montok / paha utuh,2025-05-24 16:36:09
Ayam Geprek Large - Tanpa Nasi,26.000,dada montok / paha utuh,2025-05-24 16:36:09
Indomie Ayam Geprek Large,34.000,dada montok / paha utuh + Indomie goreng,2025-05-24 16:36:09
Nasi Goreng Gila,32.500,telor orak Arik + ayam suwir + sosis + bakso + sayuran,2025-05-24 16:36:09
Indomie Ayam Geprek Fillet Cabe Ijo,33.600,ayam fillet + Indomie goreng,2025-05-24 16:36:09
