Nama Makanan,Harga,Deskripsi,Waktu Scraping
Nasi + Capcai + Udang Goreng Tepung,40.500,Gambar hanya untuk referensi,2025-05-24 16:45:56
Nasi+CapCay+Ayam gr tepung,40.500,Gambar hanya untuk referensi,2025-05-24 16:45:56
Nasi + Capcai + Puyunghai,40.500,Gambar hanya untuk referensi,2025-05-24 16:45:56
Nasi + Capcai + Ikan Asem Manis,40.500,Gambar hanya untuk referensi,2025-05-24 16:45:56
Nasi + Capcai + Ayam Goreng Mentega,40.500,Gambar hanya untuk referensi,2025-05-24 16:45:56
Nasi + Capcai + Bistik Ayam,40.500,Nasi,2025-05-24 16:45:56
Nasi + Capcai + Cumi Goreng Tepung,40.500,Gambar hanya untuk referensi,2025-05-24 16:45:56
Nasi + Capcai + Bistik Babi,40.500,Gambar hanya untuk referensi,2025-05-24 16:45:56
Gurame Tahu Tausi,110.000,Gambar hanya untuk referensi,2025-05-24 16:45:56
Gurame Asem Manis,100.000,Gambar hanya untuk referensi,2025-05-24 16:45:56
Gurame Tim Jamur Hioko + Ham,120.000,Gambar hanya untuk referensi,2025-05-24 16:45:56
Gurame Sayur Asin Kuah,110.000,2 buah siomay,2025-05-24 16:45:56
Babi Masak Kecap,80.000,isi:daging cincang+casiu+telor asin.,2025-05-24 16:45:56
Babi Gulung Ham,85.000,isi:daging cincang.,2025-05-24 16:45:56
Bistik Babi Saos Mentega,80.000,isi:kacang item.,2025-05-24 16:45:56
Bistik Babi Saos Tomat,80.000,isi:daging merah.,2025-05-24 16:45:56
Babi Kuluyuk,80.000,Deskripsi tidak ditemukan,2025-05-24 16:45:56
Babi Kuah Tahu Sayur Asin,75.000,Deskripsi tidak ditemukan,2025-05-24 16:45:56
Babi Cah Tahu Sayur Asin,75.000,Deskripsi tidak ditemukan,2025-05-24 16:45:56
Sapi tahu syr asin kuah,75.000,Deskripsi tidak ditemukan,2025-05-24 16:45:56
Sapi Cah Tahu Sayur Asin,75.000,Deskripsi tidak ditemukan,2025-05-24 16:45:56
Bistik Sapi Saos Mentega,90.000,Deskripsi tidak ditemukan,2025-05-24 16:45:56
Bistik Sapi Saos Tomat,90.000,Deskripsi tidak ditemukan,2025-05-24 16:45:56
Nasi Goreng Kepiting,65.000,Deskripsi tidak ditemukan,2025-05-24 16:45:56
Nadi Goreng Lapciong,60.000,Deskripsi tidak ditemukan,2025-05-24 16:45:56
Nasi Putih,10.000,Deskripsi tidak ditemukan,2025-05-24 16:45:56
Nasi Goreng Seafood,60.000,Deskripsi tidak ditemukan,2025-05-24 16:45:56
Nasi Goreng Special,60.000,Deskripsi tidak ditemukan,2025-05-24 16:45:56
Nasi Goreng Ham,60.000,Deskripsi tidak ditemukan,2025-05-24 16:45:56
Nasi Goreng Ayam,55.000,Deskripsi tidak ditemukan,2025-05-24 16:45:56
Nasi Goreng Babi,60.000,Deskripsi tidak ditemukan,2025-05-24 16:45:56
Udang Goreng Mentega,80.000,Deskripsi tidak ditemukan,2025-05-24 16:45:56
Udang Goreng Tepung,70.000,Deskripsi tidak ditemukan,2025-05-24 16:45:56
Udang Saos Padang,80.000,Deskripsi tidak ditemukan,2025-05-24 16:45:56
Bistik Udang Saos Mentega,80.000,Deskripsi tidak ditemukan,2025-05-24 16:45:56
Bistik Udang Saos Tomat,80.000,Deskripsi tidak ditemukan,2025-05-24 16:45:56
Udang Gulung Ham,80.000,Deskripsi tidak ditemukan,2025-05-24 16:45:56
Lumpia Udang,80.000,Deskripsi tidak ditemukan,2025-05-24 16:45:56
