Nama Makanan,Harga,Deskripsi,Waktu Scraping
aMAYze 1,96.546,Mie Goreng Seafood [1 Pack ] & Express Bowl Ayam Mayo [1 Pack ] & Nasi Goreng Spesial [ 1 Pack ],2025-05-24 16:37:26
aMAYze 2,99.637,Bihun Goreng Seafood [1 Pack ] & Express Bowl Ayam Teriyaki [1 Pack ] & Nasi Goreng Sapi Cabe Ijo [1 Pack],2025-05-24 16:37:26
aMAYze 3,104.455,Nasi Goreng Ayam [ 1 Pack ] & Nasi + Ayam Goreng Mentega [1 Pack ] & Chicken Mozarella + FF [1 Pack ] + Es Lemon Tea [ 1 Pack],2025-05-24 16:37:26
Nasi Goreng Special,38.182,Mie Goreng Seafood [1 Pack ] & Express Bowl Ayam Mayo [1 Pack ] & Nasi Goreng Spesial [ 1 Pack ],2025-05-24 16:37:26
Nasi Goreng Seafood,48.182,Bihun Goreng Seafood [1 Pack ] & Express Bowl Ayam Teriyaki [1 Pack ] & Nasi Goreng Sapi Cabe Ijo [1 Pack],2025-05-24 16:37:26
Mie Goreng Seafood,49.091,Nasi Goreng Ayam [ 1 Pack ] & Nasi + Ayam Goreng Mentega [1 Pack ] & Chicken Mozarella + FF [1 Pack ] + Es Lemon Tea [ 1 Pack],2025-05-24 16:37:26
Nasi Goreng,32.728,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Mie Goreng Ayam,41.819,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Nasi Goreng Bebek Cabe Ijo,43.637,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Nasi Bistik Ayam,45.455,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Express Bowl Ayam Mentega,24.546,Deskripsi tidak ditemukan,2025-05-24 16:37:26
aMAYze 1,96.546,Deskripsi tidak ditemukan,2025-05-24 16:37:26
aMAYze 2,99.637,Deskripsi tidak ditemukan,2025-05-24 16:37:26
aMAYze 3,104.455,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Ayam Goreng Mentega,51.819,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Ayam Goreng Mentega,51.819,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Ayam Goreng Tepung,51.819,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Ayam Goreng Tepung,51.819,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Ayam Goreng Rica-rica,51.819,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Ayam Goreng Rica-rica,51.819,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Ayam Nanking,51.819,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Ayam Nanking,51.819,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Ayam Asam Manis,51.819,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Ayam Asam Manis,51.819,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Cumi Goreng Mentega,56.364,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Cumi Goreng Mentega,56.364,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Cumi Goreng Tepung,56.364,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Cumi Goreng Tepung,56.364,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Cumi Goreng Rica-rica,56.364,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Cumi Goreng Rica-rica,56.364,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Fillet Ikan Goreng Mentega,57.273,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Fillet Ikan Goreng Mentega,57.273,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Fillet Ikan Goreng Tepung,57.273,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Fillet Ikan Goreng Tepung,57.273,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Fillet Ikan Goreng Rica-rica,57.273,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Fillet Ikan Goreng Rica-rica,57.273,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Fillet Ikan Asam Manis,57.273,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Fillet Ikan Asam Manis,57.273,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Udang Goreng Tepung,55.455,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Udang Goreng Tepung,55.455,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Bistik Ayam,51.819,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Bistik Ayam,51.819,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Bistik Sapi Mentega,53.637,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Bistik Sapi Mentega,53.637,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Bistik Sapi Tepung,53.637,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Bistik Sapi Tepung,53.637,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Ayam Cah Jamur,47.273,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Ayam Cah Jamur,47.273,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Ayam Cah Kapri,47.273,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Ayam Cah Kapri,47.273,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Ayam Cah Kembang Kol,47.273,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Ayam Cah Kembang Kol,47.273,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Fu Yung Hai,47.273,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Fu Yung Hai,47.273,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Cap Cay Seafood,54.546,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Cap Cay Seafood,54.546,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Cap Cay Goreng,45.455,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Cap Cay Goreng,45.455,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Taro Milk Shake,24.546,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Taro Milk Shake,24.546,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Teh Tarik,20.910,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Teh Tarik,20.910,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Thai Tea,20.910,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Thai Tea,20.910,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Es Kopi Malaka,20.910,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Es Kopi Malaka,20.910,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Black Currant,20.910,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Black Currant,20.910,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Frozen Capucino,20.910,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Frozen Capucino,20.910,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Orange Juice,21.819,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Orange Juice,21.819,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Juice Melon,21.819,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Juice Melon,21.819,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Juice Sirsak,21.819,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Juice Sirsak,21.819,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Juice Tomat,21.819,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Juice Tomat,21.819,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Es Jeruk,20.000,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Es Jeruk,20.000,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Milk Shake strawberry,20.910,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Milk Shake strawberry,20.910,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Milk Shake chocolate,20.910,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Milk Shake chocolate,20.910,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Milk Shake Vanilla,20.910,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Milk Shake Vanilla,20.910,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Milk Shake Blackcurrant,20.910,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Milk Shake Blackcurrant,20.910,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Milo,20.001,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Milo,20.001,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Es Lemon Tea,16.364,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Es Lemon Tea,16.364,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Es Lemonade,16.364,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Es Lemonade,16.364,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Melon Lemonade,16.364,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Melon Lemonade,16.364,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Lychee Tea,15.455,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Lychee Tea,15.455,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Ice Tea Green,12.728,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Ice Tea Green,12.728,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Air Mineral Botol,10.910,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Air Mineral Botol,10.910,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Es Teh Manis,9.091,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Es Teh Manis,9.091,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Teh Manis Panas,8.182,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Teh Manis Panas,8.182,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Es Teh Tawar,8.182,Deskripsi tidak ditemukan,2025-05-24 16:37:26
Es Teh Tawar,8.182,Deskripsi tidak ditemukan,2025-05-24 16:37:26
