Nama Makanan,Harga,Deskripsi,Waktu Scraping
yaudah kerang mix,47.000,"kerang ijo, kerang dara,kerang tahu",2025-05-24 16:49:16
yaudah 3 orang,99.000,"udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 6 orang,199.000,"udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 10 orang,299.000,"udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 3 orang (kepiting),139.000,"kepiting ,udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 6 orang (kepiting),279.000,"kepiting 2 ekor 600-700gr ,udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 10 orang (kepiting),424.000,"kepiting 3-4 ekor 1kg ,udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 3 orang (Lobster),160.650,"Lobster, udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 6 orang (Lobster),321.300,"Lobster 2 ekor 400gr, udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 10 orang (Lobster),481.950,"Lobster 3 ekor 600gr ,udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 3 orang (kepiting+Lobster),220.150,"kepiting , Lobster ,udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 6 orang (kepiting+Lobster),432.650,"kepiting 2 ekor 600-700gr , Lobster 2 ekor 400gr, udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 10 orang (kepiting+Lobster),660.450,"kepiting 3-4 ekor 1kg , Lobster 3 ekor 600gr ,udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
kepiting 400gr,89.000,saus tiram/saus padang,2025-05-24 16:49:16
kepiting 2-4 ekor 1kg,279.000,saus tiram/saus padang,2025-05-24 16:49:16
Lobster (saus),99.000,1 ekor 200gr,2025-05-24 16:49:16
Lobster 3 ekor 600gr (saus),299.000,saus tiram/saus padang,2025-05-24 16:49:16
Lobster (bakar),99.000,1 ekor 200gr,2025-05-24 16:49:16
Lobster 3 ekor 600gr (bakar),299.000,di bakar dengan bumbu khas yaudah seafood yang mantap,2025-05-24 16:49:16
cumi saus,39.000,saus tiram/saus padang,2025-05-24 16:49:16
cumi tepung,39.000,1 ekor cumi,2025-05-24 16:49:16
udang saus,39.000,saus tiram/saus padang Gambar hanya untuk referensi,2025-05-24 16:49:16
udang tepung,39.000,6pc udang tepung Gambar hanya untuk referensi,2025-05-24 16:49:16
yaudah 3 orang (kepiting),139.000,"kepiting ,udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 3 orang,99.000,"udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah kerang mix,47.000,"kerang ijo, kerang dara,kerang tahu",2025-05-24 16:49:16
kepiting 400gr,89.000,saus tiram/saus padang,2025-05-24 16:49:16
yaudah 10 orang (kepiting),424.000,"kepiting 3-4 ekor 1kg ,udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
cumi tepung,39.000,1 ekor cumi,2025-05-24 16:49:16
udang saus,39.000,saus tiram/saus padang Gambar hanya untuk referensi,2025-05-24 16:49:16
udang tepung,39.000,6pc udang tepung Gambar hanya untuk referensi,2025-05-24 16:49:16
yaudah kerang mix,47.000,"kerang ijo, kerang dara,kerang tahu",2025-05-24 16:49:16
yaudah 3 orang,99.000,"udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 6 orang,199.000,"udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 10 orang,299.000,"udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 3 orang (kepiting),139.000,"kepiting ,udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
