Nama Makanan,Harga,Deskripsi,Waktu Scraping
Fresh Suki Premium - Kaldu Ayam,53.636,"Suki premium siap santap dengan 9 macam isian Lobster Ball, Premium Fish Roll, olahan ikan tenggiri & udang (Siomay, Batagor, Pangsit), Fish Roll, Salmon Ball, Fish Cake, Sawi Putih, Pakcoy, Enoki, kuah Kaldu & Daging Ayam. Dengan Saus Suki & Garlic.",2025-05-24 16:48:17
Fresh Suki Premium - Collagen,60.000,"Suki premium siap santap dengan 9 macam isian Lobster Ball, Premium Fish Roll, olahan ikan tenggiri & udang (Siomay, Batagor, Pangsit), Fish Roll, Salmon Ball, Fish Cake, Sawi Putih, Pakcoy, Enoki, kuah Collagen & Daging Ayam. Dengan Saus Suki & Garlic.",2025-05-24 16:48:17
Suki Set Favorite - Tom Yam Ayam,45.909,"Suki Set Frozen, dengan 7 macam isian beku dengan olahan ikan tenggiri & udang (Siomay, Batagor, Pangsit), olahan ikan (Fish Roll, Salmon Ball, Fish Cake), sayuran segar (Sawi Putih, Pakcoy, & Jamur Enoki), kuah Tom Yam & Daging Ayam. Dengan Saus Suki & Garlic.",2025-05-24 16:48:17
Suki Set Favorite - Kaldu Ayam,40.909,"Suki Set Frozen, dengan 7 macam isian beku dengan olahan ikan tenggiri & udang (Siomay, Batagor, Pangsit), olahan ikan (Fish Roll, Salmon Ball, Fish Cake), sayuran segar (Sawi Putih, Pakcoy, & Jamur Enoki), kuah Kaldu & Daging Ayam. Dengan Saus Suki & Garlic.",2025-05-24 16:48:17
Suki Set Favorite - Collagen,48.182,"Suki Set Frozen, dengan kuah Kolagen dan Suki 7 macam isian beku dengan olahan ikan tenggiri & udang (Siomay, Batagor, Pangsit), olahan ikan (Fish Roll, Salmon Ball, Fish Cake), sayuran segar (Sawi Putih, Pakcoy, & Jamur Enoki), kuah Collagen & Daging Ayam. Dengan Saus Suki & Garlic.",2025-05-24 16:48:17
Suki Set Premium - Tom Yam Ayam,52.727,"Suki Set Frozen, dengan 9 macam isian beku premium dengan Lobster Ball, Premium Fish Roll, olahan ikan tenggiri & udang (Siomay, Batagor, Pangsit), Fish Roll, Salmon Ball, Fish Cake, Sawi Putih, Pakcoy, Enoki, kuah Tom Yam & Daging Ayam. Dengan Saus Suki & Garlic.",2025-05-24 16:48:17
Suki Set Premium - Kaldu Ayam,52.727,"Suki Set Frozen, dengan 9 macam isian beku premium dengan Lobster Ball, Premium Fish Roll, olahan ikan tenggiri & udang (Siomay, Batagor, Pangsit), Fish Roll, Salmon Ball, Fish Cake, Sawi Putih, Pakcoy, Enoki, kuah Kaldu & Daging Ayam. Dengan Saus Suki & Garlic.",2025-05-24 16:48:17
Suki Set Premium - Collagen,57.273,"Suki Set Frozen, dengan 9 macam isian beku premium dengan Lobster Ball, Premium Fish Roll, olahan ikan tenggiri & udang (Siomay, Batagor, Pangsit), Fish Roll, Salmon Ball, Fish Cake, Sawi Putih, Pakcoy, Enoki, kuah Collagen & Daging Ayam. Dengan Saus Suki & Garlic.",2025-05-24 16:48:17
Classic Bibimbap (Nasi Sayur Korea),34.545,"Bibimbap harga hemat! Hidangan sehat khas Korea yang terdiri dari potongan telur mata sapi, wortel dan jagung, nasi, dan taburan nori. Ditambah saus gochujang menciptakan rasa yang nikmat.",2025-05-24 16:48:17
Bibimbap Korean Chicken (Nasi Sayur Korea dengan Ayam),42.727,"Bibimbap dengan Korean Chicken! Hidangan sehat khas Korea yang terdiri dari daging ayam yang renyah, potongan wortel dan jagung, telur mata sapi, nasi, dan taburan nori. Ditambah saus gochujang menciptakan rasa yang nikmat.",2025-05-24 16:48:17
Bibimbap Beef Bulgogi (Nasi Sayur Korea dengan Daging),45.909,"Hidangan sehat khas Korea yang terdiri dari daging bulgogi (single beef 65 gr), potongan wortel dan jagung, telur mata sapi, nasi, dan taburan nori. Ditambah saus gochujang menciptakan rasa yang nikmat.",2025-05-24 16:48:17
Topokki with Egg GRATIS Oden Crispy,42.727,GRATIS crispynya Oden setiap pembelian Topokki khas Korea yang dibalur pedas manisnya saus spesial gochujang dengan topping telur rebus yang lembut.,2025-05-24 16:48:17
Topokki with Korean Chicken,58.182,"Kue beras khas Korea dengan saus gochujang yang pedas dan manis, lengkap dengan Korean Chicken 5 pcs.",2025-05-24 16:48:17
Topokki with Mandu,55.455,"Kue beras khas Korea dengan saus gochujang yang pedas dan manis, lengkap dengan Mandu (Pangsit Goreng Korea berisi daging ayam dan sayuran) 5 pcs.",2025-05-24 16:48:17
Sundubu Jigae (Sop Korea),44.545,"Sup hangat khas Korea terbuat dari tahu sutra yang lembut, potongan daging ayam dan telur, jamur enoki, serta kuah yang diracik dengan rempah-rempah Korea, menghasilkan rasa pedas dan gurih.",2025-05-24 16:48:17
Sundubu Jigae with Beef (Sop Korea dengan Daging),60.909,"BARU! Kini sup tahu sutra khas Korea dengan irisan daging sapi, telur, jamur enoki, serta kuah yang diracik dengan bumbu Korea, menghasilkan rasa pedas gurih dan makin nikmat. Add On Nasi atau Mie lebih puas!",2025-05-24 16:48:17
Sundubu Jigae with Noodle (Sop Korea dengan Mie),56.364,"Sup hangat khas Korea terbuat dari tahu sutra yang lembut, potongan daging ayam dan telur, jamur enoki, serta kuah yang diracik dengan rempah-rempah Korea, menghasilkan rasa pedas dan gurih. Dilengkapi Mie",2025-05-24 16:48:17
Sundubu Jigae with Rice (Sop Korea dengan Nasi),51.818,"Sup hangat khas Korea terbuat dari tahu sutra yang lembut, potongan daging ayam dan telur, jamur enoki, serta kuah yang diracik dengan rempah-rempah Korea, menghasilkan rasa pedas dan gurih. Dilengkapi Nasi",2025-05-24 16:48:17
Ramyun (Mie Kuah Korea),41.818,"Rasakan kelezatan mie Ramyun yang kenyal dengan kuah kaldu khas Korea yang nikmat. Ditambah irisan wortel, jagung, fishcake, daun bawang, dan telur rebus.",2025-05-24 16:48:17
Jajangmyeon,39.091,"Mie yang dibalur dengan saus kedelai hitam khas Korea serta dilengkapi irisan timun, potongan daging ayam dan kentang yang lembut.",2025-05-24 16:48:17
Beef Bulgogi A la Carte Small,59.091,Daging sapi yang dimasak dengan saus Bulgogi pilihanmu (Original / Spicy) khas Korea. Cocok dinikmati sebagai tambahan lauk. (220 gr),2025-05-24 16:48:17
Japchae A la Carte,44.091,"Soun khas Korea yang kenyal, dimasak dengan bumbu manis dan gurih ditambah potongan daging sapi dan sayuran (Berat 345 gr).",2025-05-24 16:48:17
Korean Chicken (Boneless),48.182,Ayam goreng khas Korea yang renyah dilengkapi dengan saus pilihan mu (Original / Spicy) 10 pcs,2025-05-24 16:48:17
Mandu,38.182,"Pangsit goreng Korea dengan isian ayam, Kimchi dan sayuran, isi 10 pcs.",2025-05-24 16:48:17
Kimchi Ala Carte,13.636,Sayuran sawi fermentasi yang sehat khas Korea. (Berat 150 gr),2025-05-24 16:48:17
Nasi Putih,9.091,Nasi Putih,2025-05-24 16:48:17
Jasmine Tea,17.273,"Teh dengan aroma bunga melati yang manis, semanis senyuman Crush-mu. (14 oz)",2025-05-24 16:48:17
Lemonade,17.273,"Minuman dengan sensasi segar asamnya Lemon. When life gives you lemon, we turn it into Lemonade. (14 oz)",2025-05-24 16:48:17
Peach Tea,18.182,"Segar dinginnya teh dengan rasa manis dengan harumnya buah Persik, cocok temani menu makanmu~",2025-05-24 16:48:17
Strawberry Tea,17.273,"Segar dinginnya teh dengan rasa manis dan asam buah Stroberi, cocok temani menu makanmu~",2025-05-24 16:48:17
Banana Milk,25.909,Perpaduan ala Korea antara susu segar dengan Buah Pisang yang manis dan super creamy bikin harimu jadi lebih indah. (14 oz),2025-05-24 16:48:17
Air Mineral,8.636,Air Mineral 330 ml,2025-05-24 16:48:17
