Nama Makanan,Harga,Deskripsi,Waktu Scraping
paket lengkap bawal bakar es teh,32.000,nasi sambel lalap tahu tempe ikan asin sayur asem bawal bakar es teh,2025-05-24 16:40:18
pecel lele bakar,31.200,nasi lele bakar sambel lalap tahu tempe tahu,2025-05-24 16:40:18
paket lengkap gurami goreng es teh,44.000,naai sambel lalap tahu tempe ikan asin sayur asem gurami goreng es teh,2025-05-24 16:40:18
ayam bakar lengkap,35.100,nasi ayam bakar sambel lalap tahu tempe ikan asin sayur asem,2025-05-24 16:40:18
bawal pedes manis,31.200,nasi bawal pedes manis sambel lalap tahu tempe,2025-05-24 16:40:18
paket lengkap ayam goreng es teh,32.000,nasi sambel lalap tahu tempe ikan asin sayur asem ayam goreng,2025-05-24 16:40:18
ayam goreng lengkap,35.100,nasi ayam goreng sambel lalap tahu tempe ikan asin sayur asem,2025-05-24 16:40:18
gurami goreng lengkap,41.600,nasi sambrl lalap tahu tempe ikan asin sayur asem,2025-05-24 16:40:18
gurami pedas manis,41.600,nasi gurami pedes manis sambel lalap tahu tempe,2025-05-24 16:40:18
paket gurami bakar es teh,41.600,nasi gurami bakar tahu tempe sambel lalap sayur asem es teh,2025-05-24 16:40:18
gurami bakar lengkap,41.600,nasi gurami bakar sambel lalap tahu tempe ikan asin sayur asem,2025-05-24 16:40:18
nasi ayam pedas manis,31.200,nasi ayam pedas manis sambel lalap tahu tempe,2025-05-24 16:40:18
paket ayam bakar es teh,32.000,nasi ayam bakar sambel lalap tahu tempe sayur asem es teh,2025-05-24 16:40:18
urap sayur,10.000,urap sayur,2025-05-24 16:40:18
nasi rames telur,20.000,nasi rames telor,2025-05-24 16:40:18
nasi rames ayam,20.000,nasi rames ayam,2025-05-24 16:40:18
nasi lele goreng sambel lalap,24.000,nasi lele goreng sambel lalap,2025-05-24 16:40:18
nasi lele bakar sambel lalap,24.000,nasi lele bakar sambel lalap,2025-05-24 16:40:18
nasi bawal bakar sambel lalap,24.000,nasi bawal bakar sambel lalap,2025-05-24 16:40:18
nasi bawal pedes manis sambel lalap,24.000,nasi bawal pedes manis sambel lalap,2025-05-24 16:40:18
nasi bawal goreng sambel lalap,24.000,nasi bawal goreng sambel lalap,2025-05-24 16:40:18
nasi ayam pedes manis sambel lalap,24.000,nasi ayam pedes manis sambel lalap,2025-05-24 16:40:18
nasi gurami pedes manis sambel lalap,34.000,nasi sambel lalap gurami pedes manis,2025-05-24 16:40:18
nasi gurami bakar sambel lalap,34.000,nasi gurami bakar sambel lalap,2025-05-24 16:40:18
nasi gurami goreng sambel lalap,34.000,nasi gurami goreng sambel lalap,2025-05-24 16:40:18
nasi ayam goreng sambel lalap,24.000,nasi ayam goreng sambel lalap,2025-05-24 16:40:18
nasi ayam bakar sambel lalap,24.000,nasi ayam bakar sambel lalap,2025-05-24 16:40:18
nasi nila bakar sambel lalap,32.000,nasi nila bakar sambel lalap,2025-05-24 16:40:18
nasi nila pedes manis sambel lalap,32.000,nasi nila pedes manis sambel lalap,2025-05-24 16:40:18
nasi nila goreng sambel lalap,32.000,nasi nila goreng sambel lalap,2025-05-24 16:40:18
nasi kembung salem bakar sambel lalap,24.000,nasi kembung bakar sambel lalap,2025-05-24 16:40:18
nasi kembung salem goreng sambel lalap,24.000,nasi kembung goreng sambel lalap,2025-05-24 16:40:18
kembung salem pedes manis sambel lalap,24.000,kembung asem manis sambel lalap,2025-05-24 16:40:18
ayam bakar lengkap,35.100,nasi ayam bakar sambel lalap tahu tempe ikan asin sayur asem,2025-05-24 16:40:18
ayam goreng lengkap,35.100,nasi ayam goreng sambel lalap tahu tempe ikan asin sayur asem,2025-05-24 16:40:18
gurami goreng lengkap,41.600,nasi sambrl lalap tahu tempe ikan asin sayur asem,2025-05-24 16:40:18
gurami bakar lengkap,41.600,nasi gurami bakar sambel lalap tahu tempe ikan asin sayur asem,2025-05-24 16:40:18
es teh tawar,5.000,es teh tawar,2025-05-24 16:40:18
es teh manis,7.500,es teh manis,2025-05-24 16:40:18
teh tawar panas,5.000,teh tawar panas,2025-05-24 16:40:18
teh panas,6.000,teh manis panas,2025-05-24 16:40:18
pecel lele bakar,31.200,nasi lele bakar sambel lalap tahu tempe tahu,2025-05-24 16:40:18
bawal pedes manis,31.200,nasi bawal pedes manis sambel lalap tahu tempe,2025-05-24 16:40:18
gurami pedas manis,41.600,nasi gurami pedes manis sambel lalap tahu tempe,2025-05-24 16:40:18
